"Date","Time","Reach","Unit","Type","sizeClass","count","Lat","Long","Lngth_Yrd","Flow","Visibility (ft)","temp"
2022-08-08,1899-12-31 08:45:00,"Goodwin",3,"RN","Small (<150)",17,37.8624283,-120.6306277,49,251,"5",NA
2022-08-08,1899-12-31 08:45:00,"Goodwin",3,"RN","Small (<150)",0,37.8624283,-120.6306277,49,251,"5",NA
2022-08-08,1899-12-31 08:45:00,"Goodwin",3,"RN","Small (<150)",0,37.8624283,-120.6306277,49,251,"5",NA
2022-08-08,1899-12-31 08:45:00,"Goodwin",3,"RN","Small (<150)",1,37.8624283,-120.6306277,49,251,"5",NA
2022-08-08,1899-12-31 09:00:00,"Goodwin",4,"RN","Small (<150)",20,37.8622483,-120.6310521,56,251,"5",NA
2022-08-08,1899-12-31 09:15:00,"Goodwin",8,"PL","Small (<150)",0,37.861331,-120.63331,122,251,"4",NA
2022-08-08,1899-12-31 09:30:00,"Goodwin",9,"RF","Small (<150)",7,37.861335,-120.633542,22,251,"3",NA
2022-08-08,1899-12-31 09:45:00,"Goodwin",19,"RN","Small (<150)",30,37.858993,-120.634953,34,251,"5",NA
2022-08-08,1899-12-31 09:45:00,"Goodwin",19,"RN","Small (<150)",39,37.858993,-120.634953,34,251,"5",NA
2022-08-08,1899-12-31 09:45:00,"Goodwin",19,"RN","Small (<150)",32,37.858993,-120.634953,34,251,"5",NA
2022-08-08,1899-12-31 09:45:00,"Goodwin",19,"RN","Small (<150)",34,37.858993,-120.634953,34,251,"5",NA
2022-08-08,1899-12-31 10:00:00,"Goodwin",21,"RN","Small (<150)",42,37.858429,-120.635419,38,251,"4",NA
2022-08-08,1899-12-31 10:15:00,"Goodwin",22,"RF","Small (<150)",14,37.8581709,-120.6355961,36,251,"5",NA
2022-08-09,1899-12-31 08:00:00,"Goodwin",54,"RF","Small (<150)",0,37.8438519,-120.6436633,30,255,"5-6",14.6111111111111
2022-08-09,1899-12-31 08:15:00,"Goodwin",55,"RN","Small (<150)",17,37.8433557,-120.6435098,58,255,"5-6",14.6111111111111
2022-08-09,1899-12-31 08:30:00,"Goodwin",57,"RF","Small (<150)",0,37.842912,-120.642934,34,255,"5-6",14.6111111111111
2022-08-09,1899-12-31 08:45:00,"Goodwin",59,"PL","Small (<150)",10,37.8424203,-120.6427743,24,255,"5-6",14.6111111111111
2022-08-09,1899-12-31 09:15:00,"Goodwin",60,"RF","Small (<150)",2,37.842174,-120.642772,33,255,"5-6",14.6111111111111
2022-08-09,1899-12-31 10:15:00,"Goodwin",62,"RN","Small (<150)",0,37.841052,-120.64329,97,255,"3-4",14.6666666666667
2022-08-09,1899-12-31 10:15:00,"Goodwin",62,"RN","Small (<150)",10,37.841052,-120.64329,97,255,"3-4",14.6666666666667
2022-08-09,1899-12-31 10:15:00,"Goodwin",62,"RN","Small (<150)",12,37.841052,-120.64329,97,255,"3-4",14.6666666666667
2022-08-09,1899-12-31 10:15:00,"Goodwin",62,"RN","Small (<150)",13,37.841052,-120.64329,97,255,"3-4",14.6666666666667
2022-08-09,1899-12-31 11:00:00,"Two Mile Bar",63,"PL","Small (<150)",10,37.840258,-120.644234,125,255,"6",14.6666666666667
2022-08-09,1899-12-31 11:15:00,"Two Mile Bar",65,"PL","Small (<150)",6,37.839379,-120.645629,112,255,"6",15.1111111111111
2022-08-09,1899-12-31 11:15:00,"Two Mile Bar",65,"PL","Small (<150)",0,37.839379,-120.645629,112,255,"6",15.1111111111111
2022-08-09,1899-12-31 11:15:00,"Two Mile Bar",65,"PL","Small (<150)",1,37.839379,-120.645629,112,255,"6",15.1111111111111
2022-08-09,1899-12-31 11:15:00,"Two Mile Bar",65,"PL","Small (<150)",2,37.839379,-120.645629,112,255,"6",15.1111111111111
2022-08-09,1899-12-31 12:00:00,"Two Mile Bar",68,"PL","Small (<150)",0,37.838474,-120.646954,89,255,"4-5",15.2222222222222
2022-08-10,1899-12-31 08:30:00,"KNF",135,"PL","Small (<150)",0,37.818098,-120.673342,40.6,253,"6",18.2222222222222
2022-08-10,1899-12-31 09:00:00,"KNF",143,"RN","Small (<150)",1,37.814804,-120.674592,76.3,253,"5",15.5
2022-08-10,1899-12-31 09:00:00,"KNF",148,"RF","Small (<150)",0,37.813763,-120.672588,13.8,253,"5",15.7222222222222
